category,hts_pattern,source,notes
auto_part,853710,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,853720,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8539100010,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8539100050,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,85443000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87060003,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87060005,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87060015,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87060025,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707100020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707100040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707905020,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707905040,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707905060,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,8707905080,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87081030,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87081060,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87082100,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870822,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870829,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870830,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87084011,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87084070,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87084075,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870850,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870870,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870880,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870891,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089360,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089375,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870894,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,870895,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089953,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089955,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089958,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87089968,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,87169050,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,901510,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,902910,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,9029204080,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
auto_part,94012000,CBP Attachment 2 Auto Parts HTS List,U.S. note 33(g)
